challenge,response
1100101000010000111010011101001011111000111000101001001100101001,0
1110111111110101100101100111011101101010011110010010100010000000,1
0110101000100011011111001001000100000000000101010110110011111010,1
1110010010000011110110100110110100010011111111011011100000101011,1
1001010000000100010000011101010000111011010010000011111110100000,0
0100010100110100110011001110100100010110010010101000111000010010,1
0010111111001010000011100110110100011101011001011010000010110000,0
1010001001110110001000001101100011011101000100011000011111100100,0
1111001100101101100111010010100110111001010111001001101110111110,0
1111000001001110010000001011011001101110110101011101011001000011,0
